epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,63.8666,0.75273,0.89164,0.99502,0.31449,0.0670202,0.000333129,0.000333129
2,124.43,0.31293,0.93908,0.99852,0.19135,0.034007,0.000653267,0.000653267
3,180.26,0.24173,0.96659,0.99889,0.09668,0.000980604,0.000960204,0.000960204
4,239.331,0.20085,0.97859,0.99963,0.0622,0.0009406,0.0009406,0.0009406
5,296.888,0.16062,0.98209,0.99963,0.05833,0.0009208,0.0009208,0.0009208
6,354.636,0.14256,0.98689,1,0.04703,0.000901,0.000901,0.000901
7,417.769,0.13369,0.98708,0.99982,0.03567,0.0008812,0.0008812,0.0008812
8,477.786,0.12204,0.98819,1,0.0319,0.0008614,0.0008614,0.0008614
9,544.274,0.11346,0.98763,1,0.03531,0.0008416,0.0008416,0.0008416
10,618.603,0.10122,0.99022,0.99982,0.02881,0.0008218,0.0008218,0.0008218
11,678.138,0.09976,0.99132,1,0.02453,0.000802,0.000802,0.000802
12,737.832,0.08686,0.99317,0.99982,0.02282,0.0007822,0.0007822,0.0007822
13,798.246,0.08695,0.99372,1,0.01904,0.0007624,0.0007624,0.0007624
14,856.563,0.07725,0.9928,1,0.02147,0.0007426,0.0007426,0.0007426
15,914.551,0.07621,0.99428,1,0.0199,0.0007228,0.0007228,0.0007228
16,974.91,0.06824,0.99428,1,0.01904,0.000703,0.000703,0.000703
17,1035.47,0.06607,0.9952,1,0.01694,0.0006832,0.0006832,0.0006832
18,1094.83,0.06173,0.9952,1,0.01598,0.0006634,0.0006634,0.0006634
19,1154.92,0.06072,0.99538,1,0.01575,0.0006436,0.0006436,0.0006436
20,1221.35,0.05599,0.99502,1,0.01551,0.0006238,0.0006238,0.0006238
21,1283.81,0.05133,0.9952,1,0.01585,0.000604,0.000604,0.000604
22,1351.67,0.04731,0.99557,0.99982,0.01493,0.0005842,0.0005842,0.0005842
23,1418.04,0.04915,0.99594,1,0.01491,0.0005644,0.0005644,0.0005644
24,1490.66,0.04561,0.99594,0.99982,0.01409,0.0005446,0.0005446,0.0005446
25,1549.94,0.04118,0.99575,0.99982,0.01345,0.0005248,0.0005248,0.0005248
26,1609.29,0.0418,0.99575,0.99982,0.01311,0.000505,0.000505,0.000505
27,1675.24,0.03614,0.99575,0.99982,0.01302,0.0004852,0.0004852,0.0004852
28,1735.7,0.03605,0.99538,0.99982,0.01248,0.0004654,0.0004654,0.0004654
29,1796.06,0.03492,0.99575,0.99982,0.01218,0.0004456,0.0004456,0.0004456
30,1854.06,0.03174,0.99594,0.99982,0.01176,0.0004258,0.0004258,0.0004258
31,1912.42,0.03192,0.99631,0.99982,0.01154,0.000406,0.000406,0.000406
32,1971.32,0.02688,0.99631,0.99982,0.01148,0.0003862,0.0003862,0.0003862
33,2029.81,0.02891,0.99631,0.99982,0.01133,0.0003664,0.0003664,0.0003664
34,2088.7,0.02645,0.99668,0.99982,0.01125,0.0003466,0.0003466,0.0003466
35,2148.98,0.02459,0.99649,1,0.01102,0.0003268,0.0003268,0.0003268
36,2210.14,0.02295,0.99668,1,0.0109,0.000307,0.000307,0.000307
37,2273.69,0.02222,0.99668,1,0.01052,0.0002872,0.0002872,0.0002872
38,2339.08,0.02046,0.99668,1,0.01049,0.0002674,0.0002674,0.0002674
39,2399.99,0.01879,0.99668,1,0.01014,0.0002476,0.0002476,0.0002476
40,2459.36,0.01786,0.99668,1,0.01013,0.0002278,0.0002278,0.0002278
41,2544.33,0.01796,0.99668,1,0.00988,0.000208,0.000208,0.000208
42,2603.66,0.01463,0.99612,1,0.00979,0.0001882,0.0001882,0.0001882
43,2662.63,0.01463,0.99631,1,0.00955,0.0001684,0.0001684,0.0001684
44,2721.38,0.01386,0.99631,1,0.00943,0.0001486,0.0001486,0.0001486
45,2780.23,0.01319,0.99631,1,0.00978,0.0001288,0.0001288,0.0001288
46,2840.52,0.01244,0.99649,1,0.00898,0.000109,0.000109,0.000109
