epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1285,1.72295,2.21856,1.37662,0.07054,0.15507,0.0521,0.0238,3.02262,inf,7.51426,0.0706383,0.00326241,0.00326241
2,20.2516,1.57901,1.36089,1.32329,0,0,0,0,nan,nan,nan,0.040573,0.00653045,0.00653045
3,26.8936,1.5708,1.23833,1.31023,0.27434,0.02653,0.02066,0.00677,2.55529,28.2364,2.64618,0.0104417,0.00973248,0.00973248
4,33.4616,1.51243,1.14157,1.2639,0.5676,0.32122,0.31146,0.15503,1.71537,4.97223,1.97636,0.009703,0.009703,0.009703
5,39.9744,1.47232,1.0918,1.26564,0.67679,0.34109,0.41985,0.22456,1.72697,2.66884,1.64784,0.009604,0.009604,0.009604
6,46.6485,1.45472,1.05001,1.24189,0.66336,0.46896,0.51078,0.26654,1.5298,3.05562,1.56686,0.009505,0.009505,0.009505
7,53.3678,1.42716,1.0033,1.22639,0.68003,0.47481,0.52045,0.29432,1.53373,4.16159,1.92668,0.009406,0.009406,0.009406
8,59.952,1.36924,0.94265,1.20591,0.79728,0.57012,0.6191,0.36654,1.41935,1.36155,1.37341,0.009307,0.009307,0.009307
9,66.5371,1.36566,0.91704,1.19557,0.82317,0.61517,0.62287,0.3681,1.28389,1.00896,1.3358,0.009208,0.009208,0.009208
10,73.247,1.3192,0.86375,1.16945,0.59484,0.78205,0.62806,0.36875,1.30181,2.67284,1.3691,0.009109,0.009109,0.009109
11,79.827,1.33077,0.89281,1.18259,0.80669,0.63252,0.65261,0.39702,1.24765,0.97954,1.28541,0.00901,0.00901,0.00901
12,86.48,1.30834,0.84456,1.15994,0.8621,0.57783,0.66979,0.38157,1.26115,1.08547,1.31969,0.008911,0.008911,0.008911
13,93.1596,1.31111,0.84867,1.16488,0.92857,0.49145,0.60478,0.36177,1.32395,1.6259,1.3542,0.008812,0.008812,0.008812
14,99.7689,1.29653,0.79807,1.15149,0.91944,0.63125,0.74086,0.41595,1.33347,0.90356,1.33612,0.008713,0.008713,0.008713
15,106.391,1.30301,0.81422,1.15606,0.76782,0.53149,0.57586,0.33307,1.27591,1.11112,1.34199,0.008614,0.008614,0.008614
16,113.016,1.28195,0.79461,1.16577,0.90863,0.6183,0.72286,0.4452,1.192,0.80662,1.22291,0.008515,0.008515,0.008515
17,119.685,1.27497,0.7777,1.1407,0.63706,0.7326,0.72532,0.43876,1.28273,0.96007,1.2683,0.008416,0.008416,0.008416
18,126.352,1.26843,0.7739,1.12405,0.68425,0.72208,0.71518,0.44793,1.1529,0.75659,1.19891,0.008317,0.008317,0.008317
19,133.04,1.20746,0.73927,1.12193,0.90744,0.65591,0.71329,0.46278,1.20146,0.79859,1.22279,0.008218,0.008218,0.008218
20,139.579,1.21693,0.73644,1.11553,0.90411,0.66405,0.71854,0.43561,1.12428,0.81456,1.20021,0.008119,0.008119,0.008119
21,146.276,1.22468,0.73789,1.11346,0.67573,0.69921,0.70579,0.43974,1.12507,1.0499,1.20374,0.00802,0.00802,0.00802
22,152.874,1.20042,0.71723,1.09637,0.86934,0.66864,0.76125,0.47938,1.20207,0.71392,1.20067,0.007921,0.007921,0.007921
23,159.497,1.20384,0.70468,1.09869,0.88943,0.60847,0.67874,0.45713,1.12607,0.76244,1.1975,0.007822,0.007822,0.007822
24,166.053,1.20026,0.70997,1.10335,0.75213,0.7179,0.76497,0.47518,1.14749,0.76401,1.21457,0.007723,0.007723,0.007723
25,172.514,1.18416,0.70524,1.09534,0.6278,0.76806,0.78914,0.46649,1.18958,0.69303,1.21505,0.007624,0.007624,0.007624
26,179.074,1.20942,0.68464,1.09927,0.68444,0.83361,0.77906,0.49949,1.07122,0.63064,1.15487,0.007525,0.007525,0.007525
27,185.769,1.17734,0.67456,1.08363,0.63825,0.78627,0.74352,0.45468,1.18201,0.70756,1.24309,0.007426,0.007426,0.007426
28,192.44,1.20451,0.68951,1.09036,0.68116,0.5264,0.64623,0.39303,1.31634,0.93701,1.29154,0.007327,0.007327,0.007327
29,198.999,1.17947,0.67767,1.0943,0.86883,0.70895,0.75519,0.47084,1.17634,0.72248,1.23685,0.007228,0.007228,0.007228
30,205.61,1.17371,0.66535,1.08663,0.68758,0.78323,0.80129,0.51679,1.09699,0.7016,1.16017,0.007129,0.007129,0.007129
31,212.167,1.21289,0.70691,1.1041,0.67912,0.67719,0.72202,0.46584,1.20666,0.76001,1.20766,0.00703,0.00703,0.00703
32,218.751,1.17689,0.67011,1.0903,0.69387,0.67837,0.72446,0.43507,1.26274,0.7748,1.23768,0.006931,0.006931,0.006931
33,225.312,1.16648,0.65038,1.07834,0.76136,0.80911,0.81179,0.50725,1.09115,0.62635,1.16201,0.006832,0.006832,0.006832
34,231.913,1.14992,0.65818,1.07708,0.72003,0.7488,0.74595,0.4726,1.20867,0.66512,1.22832,0.006733,0.006733,0.006733
35,238.447,1.11276,0.63926,1.06234,0.74466,0.85153,0.82742,0.51894,1.0484,0.65341,1.14463,0.006634,0.006634,0.006634
36,245.029,1.15283,0.64533,1.07762,0.84351,0.82398,0.89411,0.52887,1.10371,0.69502,1.16512,0.006535,0.006535,0.006535
37,251.665,1.1273,0.64442,1.07211,0.74021,0.7419,0.79163,0.52087,1.06255,0.60652,1.15539,0.006436,0.006436,0.006436
